year,month,day,hour,sumCount
2018,9,16,18,1873701
2018,9,16,17,1864049
2018,9,11,16,1897715
2018,9,16,15,1900082
2019,9,4,14,1715128
2019,9,18,4,1332105
2018,9,11,15,1878104
2018,9,22,18,1881134
2018,9,12,2,1388277
2019,9,4,13,1738388
2018,9,22,13,1925897
2018,9,12,1,1412535
2018,9,11,14,1895175
2018,9,11,17,1842640
2018,9,16,14,2063255
2018,9,14,9,1723743
2019,9,7,13,1580383
2018,9,14,8,1616597
2019,9,7,16,1657884
2019,9,16,3,1371709
2018,9,5,11,1643400
2019,9,7,15,1650172
2018,9,15,19,1903480
2019,9,7,11,1442224
2018,9,30,9,1955442
2018,9,30,10,1987249
2019,9,16,5,1404693
2018,9,15,17,1866418
2018,9,15,16,1822564
2018,9,30,11,1866968
2018,9,14,6,1613490
2018,9,14,7,1680547
2018,9,15,22,1566506
2018,9,5,15,1930467
2019,9,16,4,1406817
2018,9,30,8,1951492
2018,9,30,12,1847673
2018,9,5,14,2003220
2018,9,30,7,1804833
2018,9,30,6,1711259
2018,9,15,20,1879758
2018,9,15,18,1828450
2019,9,16,7,1599989
2018,9,14,5,1487308
2018,9,5,16,1880474
2018,9,5,17,1884230
2019,9,7,17,1635036
2018,9,14,4,1393760
2018,9,5,13,1848162
2018,9,14,3,1392214
2019,9,16,6,1474245
2019,9,16,8,1595988
2018,9,15,21,1875829
2018,9,5,12,1738229
2019,9,7,12,1542476
2018,9,14,10,1683559
2019,9,16,2,1397677
2019,9,7,14,1610847
2018,9,16,8,1804125
2018,9,13,7,1720421
2019,9,1,19,1555594
2018,9,16,7,1750400
2019,9,1,17,1538059
2018,9,21,1,1483644
2018,9,9,20,1883576
2018,9,16,12,1803329
2019,9,12,6,1391960
2019,9,12,5,1281635
2018,9,16,11,1746704
2018,9,21,5,1729976
2018,9,21,6,1800349
2018,9,21,2,1484022
2018,9,9,19,1990708
2018,9,16,10,1832630
2018,9,21,3,1592934
2019,9,12,10,1427590
2019,9,12,9,1392007
2018,9,9,22,1598687
2019,9,1,23,1179360
2018,9,21,4,1673383
2018,9,13,11,1705009
2019,9,12,8,1371983
2018,9,16,13,1890443
