_c0,_c1
1538078400,2154047
1538082000,1790151
1538085600,1699334
1538089200,1756055
1538092800,1655878
1538096400,1567166
1538100000,1664130
1538103600,1591251
1538107200,1538963
1538110800,1570431
1538114400,1677858
1538118000,1680409
1538121600,1710535
1538125200,1700544
1538128800,1743250
1538132400,1738922
1538136000,1820728
1538139600,1860672
1538143200,1990507
1538146800,1923884
1538150400,1921587
1538154000,1913418
1538157600,2187535
1538161200,2342275
1538164800,2164449
1538168400,1760515
1538172000,1604819
1538175600,1640508
1538179200,1643350
1538182800,1677153
1538186400,1737966
1538190000,1660859
1538193600,1602839
1538197200,1704399
1538200800,1696011
1538204400,1801749
1538208000,1933843
1538211600,1884744
1538215200,1918107
1538218800,1766161
1538222400,1817659
1538226000,1857208
1538229600,1898059
1538233200,1894548
1538236800,1819659
1538240400,1837619
1538244000,1808074
1538247600,1837302
1538251200,1866910
1538254800,1777455
1538258400,1664570
1538262000,1631191
1538265600,1562392
1538269200,1565801
1538272800,1520154
1538276400,1413459
1538280000,1449323
1538283600,1652833
1538287200,1711259
1538290800,1804833
1538294400,1951492
1538298000,1955442
1538301600,1987249
1538305200,1866968
1538308800,1847673
1538312400,1993040
1538316000,2097846
1538319600,2040149
1538323200,2011402
1538326800,2078105
1538330400,2083809
1538334000,2079476
1538337600,1909683
1538341200,1744700
1538344800,1578684
1538348400,1548905
1538352000,1616747
1538355600,1560765
1538359200,1632009
1538362800,1468876
1538366400,1494752
1538370000,1421033
1538373600,1475012
1538377200,1595842
1538380800,1690225
1538384400,1769790
1538388000,1777457
1538391600,1752147
1538395200,1754131
1538398800,1829559
1538402400,1950621
1538406000,1948583
1538409600,1939899
1538413200,1937646
1538416800,1927457
1538420400,1925731
1538424000,1833357
1538427600,1694438
1538431200,1476709
1538434800,1497385
1538438400,1408612
1538442000,1482687
1538445600,1521868
1538449200,1499281
1538452800,1494974
1538456400,1495235
1538460000,1481207
1538463600,1549296
1538467200,1700019
1538470800,1633725
1538474400,1660153
1538478000,1602429
1538481600,1674275
1538485200,1791097
1538488800,1849898
1538492400,1917131
1538496000,1900711
1538499600,1912976
1538503200,2042870
1538506800,1955574
1538510400,1976784
1538514000,1799026
1538517600,1570172
1538521200,1530167
1538524800,1742264
1538528400,1632936
1538532000,1578508
1538535600,1513217
1538539200,1494825
1538542800,1559135
1538546400,1644928
1538550000,1825549
1538553600,1876836
1538557200,1904716
1538560800,1962463
1538564400,1917211
1538568000,1893859
1538571600,1996517
1538575200,2058757
1538578800,2037508
1538582400,2000448
1538586000,1921377
1538589600,1933671
1538593200,1967995
1538596800,2251603
1538600400,1965215
1538604000,1670235
1538607600,1578136
1538611200,1489643
1538614800,1440650
1538618400,1392415
1538622000,1378360
1538625600,1326613
1538629200,1372571
1538632800,1528869
1538636400,1596854
1538640000,1625931
1538643600,1715245
1538647200,1715985
1538650800,1663311
1538654400,1794814
1538658000,1832545
1538661600,1968202
1538665200,1858280
1538668800,1805649
1538672400,1817666
1538676000,1892925
1538679600,1895931
1538683200,1901129
1538686800,1757148
1538690400,1604095
1538694000,1560283
1538697600,1444577
1538701200,1715126
1538704800,1670913
1538708400,1633636
1538712000,1672657
1538715600,1648064
1538719200,1770847
1538722800,1872407
1538726400,1958859
1538730000,1877928
1538733600,1808271
1538737200,1800424
1538740800,1809818
1538744400,1950647
1538748000,2036870
1538751600,1933781
1538755200,1925338
1538758800,1894281
1538762400,1889878
1538766000,1925721
1538769600,1931450
1538773200,1808281
1538776800,1737270
1538780400,1649476
1538784000,1623390
1538787600,1503698
1538791200,1561868
1538794800,1590923
1538798400,1530617
1538802000,1680806
1538805600,1732838
1538809200,1801178
1538812800,1858906
1538816400,1885962
1538820000,1909688
1538823600,1721358
1538827200,1694654
1538830800,1818221
1538834400,1772832
1538838000,1950354
1538841600,1913816
1538845200,1920393
1538848800,1898508
1538852400,1989691
1538856000,1903766
1538859600,1805733
1538863200,1571794
1538866800,1694575
1538870400,1674226
1538874000,1566754
1538877600,1542869
1538881200,1550977
1538884800,1616391
1538888400,1663292
1538892000,1693992
1538895600,1777686
1538899200,1817714
1538902800,1885104
1538906400,1862653
1538910000,1732022
1538913600,1726655
1538917200,1841564
1538920800,1812481
1538924400,1924965
1538928000,1927483
1538931600,1919948
1538935200,1949858
1538938800,1989029
1538942400,1966207
1538946000,1800536
1538949600,1737019
1538953200,1733115
1538956800,1619715
1538960400,1592954
1538964000,1599720
1538967600,1556871
1538971200,1619185
1538974800,1702802
1538978400,1941112
1538982000,1899402
1538985600,1968543
1538989200,1989495
1538992800,2040995
1538996400,1888165
1539000000,1859573
1539003600,1970477
1539007200,1985528
1539010800,1959172
1539014400,1965452
1539018000,1925296
1539021600,1976971
1539025200,2226211
1539028800,2063592
1539032400,1862760
1539036000,1639258
1539039600,1645755
1539043200,1621910
1539046800,1407269
1539050400,1389063
1539054000,1399091
1539057600,1398653
1539061200,1364698
1539064800,1721251
1539068400,1757820
1539072000,1701192
1539075600,1732188
1539079200,1744961
1539082800,1709352
1539086400,1798518
1539090000,1967119
1539093600,1957248
1539097200,1906540
1539100800,1843404
1539104400,1922792
1539108000,1953676
1539111600,2056967
1539115200,1929317
1539118800,1698154
1539122400,1443882
1539126000,1553464
1539129600,1599972
1539133200,1589458
1539136800,1484464
1539140400,1550341
1539144000,1577798
1539147600,1632009
1539151200,1677774
1539154800,1924980
1539158400,1930209
1539162000,1856112
1539165600,1873095
1539169200,1745096
1539172800,1748488
1539176400,1913272
1539180000,2715090
1539183600,2665500
1539187200,2458795
1539190800,2292773
1539194400,2280185
1539198000,2194708
1539201600,2140483
1539205200,2103073
1539208800,1716077
1539212400,1791852
1539216000,1668552
1539219600,1615609
1539223200,1576058
1539226800,1574271
1539230400,1608233
1539234000,1629982
1539237600,1776883
1539241200,1790936
1539244800,1791842
1539248400,1957547
1539252000,1960705
1539255600,1807610
1539259200,1834419
1539262800,1920086
1539266400,1947613
1539270000,1884661
1539273600,1889047
1539277200,1838772
1539280800,1964476
1539284400,1894806
1539288000,1828006
1539291600,1816788
1539295200,1628771
1539298800,1659548
1539302400,1689397
1539306000,1677766
1539309600,1610298
1539313200,1600933
1539316800,1524642
1539320400,1561100
1539324000,1647504
1539327600,1843767
1539331200,1858920
1539334800,1791277
1539338400,1837293
1539342000,1695675
1539345600,1665371
1539349200,1759988
1539352800,1779829
1539356400,1806608
1539360000,1790483
1539363600,1775801
1539367200,1834406
1539370800,1982162
1539374400,1867001
1539378000,1682058
1539381600,1655949
1539385200,1751421
1539388800,1665772
1539392400,1686803
1539396000,1817940
1539399600,1725394
1539403200,1673225
1539406800,1677487
1539410400,1685017
1539414000,1749781
1539417600,1801654
1539421200,1782130
1539424800,1743639
1539428400,1661453
1539432000,1750990
1539435600,1869789
1539439200,1767297
1539442800,1739868
1539446400,1783744
1539450000,1811096
1539453600,1845168
1539457200,1989654
1539460800,1930135
1539464400,1788735
1539468000,1719817
1539471600,1666795
1539475200,1702232
1539478800,1615418
1539482400,1514505
1539486000,1474277
1539489600,1479578
1539493200,1544952
1539496800,1630731
1539500400,1811489
1539504000,1872828
1539507600,1883087
1539511200,1959166
1539514800,1784949
1539518400,1902858
1539522000,1822812
1539525600,1797508
1539529200,1801053
1539532800,1817250
1539536400,1866995
1539540000,2024591
1539543600,1991119
1539547200,1886124
1539550800,1718859
1539554400,1484134
1539558000,1529602
1539561600,1589353
1539565200,1600711
1539568800,1490050
1539572400,1454671
1539576000,1451050
1539579600,1492355
1539583200,1634690
1539586800,1699777
1539590400,1818098
1539594000,1933284
1539597600,1873752
1539601200,1869458
1539604800,1788042
1539608400,1998828
1539612000,1987580
1539615600,1896760
1539619200,1944405
1539622800,2057889
1539626400,2100978
1539630000,2021830
1539633600,1986603
1539637200,1855061
1539640800,1666381
1539644400,1708783
1539648000,1707866
1539651600,1643987
1539655200,1649817
1539658800,1603164
1539662400,1709628
1539666000,1711144
1539669600,1713467
1539673200,1813553
1539676800,1767491
1539680400,1834485
1539684000,1789089
1539687600,1853604
1539691200,2047738
1539694800,2081951
1539698400,2121018
1539702000,2151975
1539705600,2271122
1539709200,2166673
1539712800,2221392
1539716400,2229637
1539720000,2161326
1539723600,1867291
1539727200,1669016
1539730800,1652637
1539734400,1780858
1539738000,1765809
1539741600,1774069
1539745200,1770076
1539748800,1698366
1539752400,1756288
1539756000,1812777
1539759600,1921570
1539763200,1933348
1539766800,1845295
1539770400,1864137
1539774000,1851619
1539777600,1878853
1539781200,1945994
1539784800,2041114
1539788400,2065835
1539792000,2113379
1539795600,2063644
1539799200,2047180
1539802800,1995500
1539806400,1953928
1539810000,1731676
1539813600,1567970
1539817200,1622417
1539820800,1545609
1539824400,1528735
1539828000,1503404
1539831600,1502578
1539835200,1562042
1539838800,1583944
